FileName;Options
clip-2;"'locker=true; length=2; h_base=1.5; M4=false'"
clip-3;"'locker=true; length=3; h_base=1.5; M4=false'"
clip-4;"'locker=true; length=4; h_base=1.5; M4=false'"
clip-5;"'locker=true; length=5; h_base=1.5; M4=false'"
clip-6;"'locker=true; length=6; h_base=1.5; M4=false'"
clip-7;"'locker=true; length=7; h_base=1.5; M4=false'"
clip-8;"'locker=true; length=8; h_base=1.5; M4=false'"
clip-a-2;"'locker=false; length=2; h_base=0.6; M4=false'"
clip-a-3;"'locker=false; length=3; h_base=1.5; M4=false'"
clip-a-4;"'locker=false; length=4; h_base=1.5; M4=false'"
clip-a-5;"'locker=false; length=5; h_base=1.5; M4=false'"
clip-a-6;"'locker=false; length=6; h_base=1.5; M4=false'"
clip-a-7;"'locker=false; length=7; h_base=1.5; M4=false'"
clip-a-8;"'locker=false; length=8; h_base=1.5; M4=false'"
clip-m4-2;"'locker=false; length=2; h_base=1.5; M4=true'"
clip-m4-3;"'locker=false; length=3; h_base=1.5; M4=true'"
clip-m4-4;"'locker=false; length=4; h_base=1.5; M4=true'"
clip-m4-5;"'locker=false; length=5; h_base=1.5; M4=true'"
clip-m4-6;"'locker=false; length=6; h_base=1.5; M4=true'"
clip-m4-7;"'locker=false; length=7; h_base=1.5; M4=true'"
clip-m4-8;"'locker=false; length=8; h_base=1.5; M4=true'"

