FileName;Options
esp32-30pins-51.6-28.2;"'width=51.6; height=28.2'"
hc-sr04-45.1-20.3;"'width=45.1; height=20.3'"
hc-sr04-20.3-45.1;"'width=20.3; height=45.1'"
tm1637-41.8-23.6;"'width=41.8; height=23.6'"
tm1637-23.6-41.8;"'width=23.6; height=41.8'"
dupont-pitch-7.9-22.8;"'width=7.9; height=22.8'"
dupont-pitch-22.8-7.9;"'width=22.8; height=7.9'"
1button-19.5-13.3;"'width=19.5; height=13.3'"
1button-13.3-19.5;"'width=13.3; height=19.5'"
oled-ssd1306-27-27.5;"'width=27; height=27.5'"
oled-ssd1306-27.5-27;"'width=27.5; height=27'"
bme280-1side-11-13.2;"'width=11; height=13.2'"
