FileName;Options
clip-locker-2;"'length=2; strong=false'"
clip-locker-3;"'length=3; strong=false'"
clip-locker-4;"'length=4; strong=false'"
clip-locker-5;"'length=5; strong=false'"
clip-locker-6;"'length=6; strong=false'"
clip-locker-7;"'length=7; strong=false'"
clip-locker-8;"'length=8; strong=false'"
clip-locker-strong-2;"'length=2; strong=true'"
clip-locker-strong-3;"'length=3; strong=true'"
clip-locker-strong-4;"'length=4; strong=true'"
clip-locker-strong-5;"'length=5; strong=true'"
clip-locker-strong-6;"'length=6; strong=true'"
clip-locker-strong-7;"'length=7; strong=true'"
clip-locker-strong-8;"'length=8; strong=true'"
